user ID,user__created_date,country,age,num_messages,num_active_days
593,2/27/2023,Nigeria,17,184,6
594,2/5/2024,Nigeria,19,656,8
595,2/21/2024,South Africa,17,144,2
596,4/8/2024,Nigeria,16,1794,6
597,1/5/2024,Nigeria,20,106,1
598,6/27/2023,Ghana,17,512,5
599,3/24/2024,Mozambique,0,332,2
600,3/4/2024,Nigeria,24,325,2
601,2/17/2024,Nigeria,15,183,2
602,3/13/2024,Nigeria,15,204,4
603,4/9/2024,Nigeria,15,294,3
604,4/6/2024,Ghana,19,331,3
605,4/7/2024,Ghana,18,379,2
606,2/6/2024,Nigeria,14,122,4
607,2/17/2024,South Africa,14,162,1
608,4/13/2023,Nigeria,0,894,4
609,2/16/2024,Ghana,16,100,3
610,4/8/2024,Nigeria,17,159,1
611,2/24/2024,Nigeria,20,232,5
612,2/16/2024,Ghana,20,215,1
613,12/23/2023,Ghana,18,894,5
614,2/16/2024,Uganda,16,289,6
615,4/22/2024,Ghana,12,477,5
616,2/5/2024,Nigeria,20,229,3
617,9/11/2023,Ghana,14,601,7
618,12/20/2023,Kenya,15,36,2
619,4/6/2024,Ghana,19,1407,7
620,3/4/2024,Nigeria,18,338,2
621,3/25/2024,South Africa,13,1034,7
622,1/1/2024,Ghana,0,818,6
623,4/8/2024,Nigeria,19,321,4
624,3/4/2024,Kenya,26,213,3
625,2/18/2024,South Africa,16,243,1
626,2/19/2024,Nigeria,18,167,1
627,4/22/2023,Ghana,0,89,4
628,3/7/2024,South Africa,21,125,1
629,1/8/2024,Ghana,13,192,1
630,2/20/2024,Nigeria,18,343,4
631,3/23/2024,Mozambique,14,1266,4
632,4/30/2024,Nigeria,0,722,4
633,2/7/2024,Nigeria,18,562,4
634,4/11/2024,Ghana,13,89,2
635,6/7/2023,Ghana,18,180,3
636,2/13/2024,Nigeria,20,193,2
637,1/5/2024,Nigeria,0,195,4
638,4/4/2024,Kenya,16,679,6
639,3/30/2024,Mozambique,13,315,1
640,1/25/2024,Ghana,0,458,4
641,3/20/2024,Nigeria,16,255,2
642,2/13/2024,Nigeria,32,313,4
643,2/4/2024,Uganda,17,98,2
644,1/8/2024,Nigeria,10,209,4
645,7/18/2023,Ghana,0,271,2
646,1/2/2024,Ghana,0,516,4
647,4/30/2023,Ghana,0,91,3
648,3/7/2023,Ghana,0,65,1
649,1/2/2024,Ghana,15,201,1
650,4/8/2024,Ghana,15,553,2
651,1/5/2024,Ghana,0,788,9
652,2/8/2024,Ghana,18,429,4
653,2/15/2024,Uganda,22,369,2
654,3/10/2024,Ghana,14,269,2
655,2/2/2024,Uganda,22,267,1
656,1/6/2024,Nigeria,15,192,8
657,3/9/2024,South Africa,13,251,3
658,1/4/2024,Ghana,18,241,5
659,3/19/2024,Ghana,21,149,1
660,12/22/2023,Nigeria,16,76,4
661,2/21/2024,Nigeria,16,506,4
662,2/1/2024,Tanzania,19,641,8
